Issue Type,Issue ID,Parent ID,Epic Link,Epic Name,Parent Link,Parent,Summary,Component/s,Priority,Story Points,Labels,Labels,Labels,Description,Acceptance Criteria
Feature,53,,,,,,Conversational AI Assistant (Client Chat),Client Chat,Highest,,customer-app,ai,connect,"A floating chat assistant available on every portal page. It opens an Amazon Connect chat session, answers questions instantly via an AI bot, links investors to self-service pages, and escalates to a live agent (or schedules a callback) the moment a request needs a human or an account change. The experience is engineered to feel human: realistic typing/reading delays, agent avatars and names, minimize/persist behavior, chat history, and the ability to resume a recent agent conversation.

Value: gives every investor an immediate, knowledgeable first responder, deflecting simple contacts and warming up the ones that escalate so agents start with full context.

=== ARCHITECTURE & STACK ===
Lives in the customer SPA. Transport: Amazon Connect ChatJS SDK. A useChatSession hook owns the Connect
session: start via POST /start-chat (creates the Connect contact, returns participant credentials), then
ChatJS connect/sendMessage/onMessage/onTyping. chatStore (Zustand) holds view state and is persisted to
sessionStorage (per tab) for resume.
Components: ChatWidget (global FAB, mounted OUTSIDE <Routes>), ChatPanel (header, minimize/close, view
switch chat/history/transcript), ChatBody (messages + typing + cards), ChatMessage, ChatInput,
TopicButtons/QuestionButtons, ContinueChatCard, ApprovalFormCard, ChatHistoryView, ChatMinimizedBar.
Pre-agent AI replies come from POST /autopilot-turn (full-auto scope). Control messages (agent name,
typing-stop sentinel, approval forms) are intercepted in onMessage and NOT rendered as chat bubbles.
GOTCHA: a customer ChatJS session ends via disconnectParticipant() - there is NO disconnect() (calling it
throws; a swallowing try/catch hid this for weeks). Treat ChatJS onEnded as ""chat over"" ONLY in
CONNECTED_TO_AGENT / WAITING_FOR_AGENT states - non-escalated contacts fire onEnded seconds after connect
while the bot keeps answering via the fallback path.","Definition of done:
- The widget is reachable from any page and reliably starts and ends Connect sessions.
- The bot answers, links, and escalates; live-agent UX is indistinguishable from a human.
- History, persistence, and resume all work across reloads and off-site navigation."
Epic,54,,,Embedded Chat Widget & Session Lifecycle,53,53,Embedded Chat Widget & Session Lifecycle,Client Chat,Highest,,customer-app,connect,,"The chat surface and its full lifecycle: a floating action button that expands into a panel, session creation via the start-chat Lambda + Connect ChatJS, minimize-to-docked-bar with an unread badge, a close-confirmation dialog, true Connect disconnect on end, and per-tab persistence so a reload or a trip off-site and back resumes the conversation (with missed agent messages backfilled).

Value: a dependable, forgiving chat container that never loses a conversation is the foundation the rest of the assistant stands on.

=== TECHNICAL SCOPE ===
useChatSession owns start (POST /start-chat -> contactId + token -> ChatJS connect), send, receive
(onMessage), typing (onTyping/notifyTyping), end (disconnectParticipant). chatStore persists
{persist, minimized, unreadCount, chatEnded, messages} to sessionStorage. On load, if a live session
exists, reconnect and backfill missed agent messages via getTranscript, reconciling by message id. Tab
close (no persisted live session) = chat over. Close-confirm dialog offers Minimize (default) / End chat;
skip the dialog for never-engaged or already-ended chats.","Definition of done:
- Opening the widget starts (or resumes) exactly one Connect session.
- Minimize keeps the session live; close-after-engagement confirms; end truly disconnects.
- A reload or off-site round-trip restores the live conversation; tab close ends it."
Story,55,,Embedded Chat Widget & Session Lifecycle,,,54,Open a chat from any page,Client Chat,High,3,customer-app,,,"As an investor, I want a chat button on every page that expands into a chat panel, so that I can ask for help from wherever I am in the portal.

=== TECHNICAL DESIGN ===
ChatWidget renders a FAB globally (outside <Routes> in App). On open, useChatSession.start -> POST
/start-chat {clientId, page} -> ChatJS connect with the returned token. Render the greeting + topic pills.","Scenario: Launch chat
  Given I am on any portal page
  When I click the chat button
  Then a chat panel opens and a Connect chat session is started"
Story,56,,Embedded Chat Widget & Session Lifecycle,,,54,Minimize chat without ending it,Client Chat,,3,customer-app,ux,,"As an investor, I want to minimize the chat to a docked bar while keeping the session live, so that I can keep using the portal and return to my conversation, seeing if new messages arrived.

=== TECHNICAL DESIGN ===
Minimize sets chatStore.minimized=true and renders ChatMinimizedBar; the session stays connected. Increment
unreadCount on inbound messages while minimized; restoring the panel clears it.","Scenario: Minimize keeps session and badges unread
  Given I am in an active chat
  When I minimize it and a new message arrives
  Then the docked bar shows an unread badge and restoring the panel shows the message"
Story,57,,Embedded Chat Widget & Session Lifecycle,,,54,Close chat with an intentional confirmation,Client Chat,,3,customer-app,ux,,"As an investor, I want a confirmation when I close an engaged chat offering minimize or truly end it, so that I do not accidentally end a live conversation, and ending it actually disconnects me.

=== TECHNICAL DESIGN ===
On close after engagement, show the confirm dialog. End chat -> endChat() -> disconnectParticipant() (NOT
disconnect()); do not swallow errors. Never-engaged or already-ended chats close silently (no dialog).","Scenario: Closing an engaged chat confirms
  Given I have exchanged messages
  When I click close
  Then I am offered Minimize (default) or End chat

Scenario: Tire-kicker close is silent
  Given I opened the chat but never engaged
  When I click close
  Then the chat closes without a dialog

Scenario: End truly disconnects
  Given I choose End chat
  Then the Connect participant is genuinely disconnected"
Sub-task,58,57,,,,57,Wire close-confirm dialog (Minimize / End chat),Client Chat,,,,,,Skip dialog for never-engaged or already-ended chats.,
Sub-task,59,57,,,,57,Call disconnectParticipant() on end,Client Chat,,,,,,Customer ChatJS ends via disconnectParticipant() - there is no disconnect(); ensure errors are not swallowed.,
Sub-task,60,57,,,,57,Implement endChat via disconnectParticipant() (not disconnect()),Client Chat,,,,,,Customer ChatJS has no disconnect(); call disconnectParticipant() and surface (do not swallow) errors.,
Sub-task,61,57,,,,57,Close-confirm dialog + silent-close rules,Client Chat,,,,,,Minimize (default) / End chat; skip the dialog for never-engaged or already-ended chats.,
Story,62,,Embedded Chat Widget & Session Lifecycle,,,54,Resume a chat after reload or leaving the site,Client Chat,High,5,customer-app,,,"As an investor, I want my chat to persist per browser tab and resume on reload or when I navigate away and back, so that I do not lose an in-progress conversation due to a refresh or a quick detour.

=== TECHNICAL DESIGN ===
Persist session essentials to sessionStorage. On mount, if persisted + live, reconnect ChatJS and backfill
via getTranscript; reconcile the message list by id (dedupe). A real tab close clears sessionStorage, so it
ends the chat.","Scenario: Reload resumes the conversation
  Given I am in an active chat
  When I reload the page
  Then the chat resumes and any agent messages I missed are backfilled

Scenario: Tab close ends it
  Given I am in an active chat
  When I close the browser tab
  Then the chat is treated as over"
Sub-task,63,62,,,,62,Persist chat session to sessionStorage,Client Chat,,,,,,Persist persist/minimized/unreadCount/chatEnded/messages per tab.,
Sub-task,64,62,,,,62,Reconnect on load + backfill missed agent messages,Client Chat,,,,,,"If a live session exists, reconnect ChatJS and backfill via getTranscript; reconcile by message id.",
Story,65,,Embedded Chat Widget & Session Lifecycle,,,54,Download a transcript when a live chat ends,Client Chat,,2,customer-app,,,"As an investor, I want a Download transcript button when my live-agent chat ends, so that I keep a record of what was discussed and agreed.

=== TECHNICAL DESIGN ===
On agent-chat end, render a Download button. Build a .txt (date, agent, duration, timestamped lines) via a
transcriptDownload util and trigger a client-side Blob download.","Scenario: Transcript download on end
  Given a live-agent chat has ended
  Then I see ""Chat ended."" and a Download transcript button that saves a timestamped .txt"
Epic,66,,,Full-Auto Bot Q&A & Self-Service Linking,53,53,Full-Auto Bot Q&A & Self-Service Linking,Client Chat,Highest,,customer-app,ai,backend,"The pre-agent bot (autopilot full-auto scope) that handles conversations end-to-end: answering general questions about account types, IRAs, RMDs, rollovers, contributions, and taxes; directing investors to self-service pages with clickable in-chat links; and recognizing when a request needs escalation. It hard-routes trade requests and financial-advice questions to the proper channels and never claims it can make account changes itself.

Value: resolves the large tail of simple informational contacts without a human, at any hour.

=== TECHNICAL SCOPE ===
Pre-agent bot = autopilot-turn full-auto scope (FULL_AUTO_PROMPT), on Nova Micro or gpt-4o-mini. The prompt
embeds SELF_SERVICE_PAGES (the route table) so the bot LINKS instead of free-typing, plus the shared
FORBIDDEN_TOPICS block. In-chat links use a markdown-style link token the client renders as an <a> that
calls React Router navigate() (same-tab, in-app). The bot must not claim it can perform account changes;
trade/advice intents are detected and routed (advice -> callback scope).","Definition of done:
- The bot answers in-scope questions and links to the correct self-service page.
- Trade and advice intents are detected and routed, not answered.
- The bot never claims it can directly perform an account change."
Story,67,,Full-Auto Bot Q&A & Self-Service Linking,,,66,Get instant answers to common questions,Client Chat,High,5,ai,backend,,"As an investor, I want the bot to answer common questions about account types, IRA rules, RMDs, rollovers, contributions, and taxes, so that I get accurate answers immediately without waiting for an agent.

=== TECHNICAL DESIGN ===
full-auto prompt answers from the KB + general knowledge; keep replies concise; attach a self-service link
when one fits the question.","Scenario: In-scope question is answered
  Given I ask the bot an informational question in scope
  Then it answers concisely and, where relevant, links me to the page that goes deeper"
Story,68,,Full-Auto Bot Q&A & Self-Service Linking,,,66,Follow clickable in-chat links to portal pages,Client Chat,,3,customer-app,ai,,"As an investor, I want the bot to give me clickable links to the exact portal page for my need, so that I can act on its guidance in one click.

=== TECHNICAL DESIGN ===
Define a link-token format the bot emits (e.g. [Beneficiaries](/account/beneficiaries)); ChatMessage parses
it and renders a clickable link that calls navigate() (in-app, same tab). Validate the path against the
known route table.","Scenario: In-chat link navigates
  Given the bot suggests a self-service page
  When I click the in-chat link
  Then the portal navigates to that page"
Story,69,,Full-Auto Bot Q&A & Self-Service Linking,,,66,Be safely routed for trades and financial advice,Client Chat,High,3,ai,compliance,,"As a compliance owner, I want the bot to refuse to give personalized investment advice or execute trades and instead route to the proper channel, so that we stay within regulatory boundaries while still helping the client.

=== TECHNICAL DESIGN ===
Detect advice/trade intent (ADVICE_RE keyword + LLM). Respond with the scripted FORBIDDEN_TOPICS line and
offer a callback with a licensed rep; never recommend a security or imply the bot can execute a trade.","Scenario: Advice is declined and routed
  Given I ask the bot which fund I should buy
  Then it does not recommend a security and offers a callback with a licensed representative

Scenario: Bot does not overclaim
  Given I ask the bot to change my account
  Then it does not imply it can perform the change itself and routes me appropriately"
Epic,70,,,Escalation to Live Agent & Intent Summary,53,53,Escalation to Live Agent & Intent Summary,Client Chat,High,,customer-app,ai,connect,"When a request needs a human or an account action, the bot offers escalation to a live agent or a callback. On escalation, a secondary LLM call generates an intent label and a suggested agent greeting so the agent's workspace is pre-populated with context before the first human word.

Value: shortens handle time and makes the handoff feel seamless - the agent already knows why the client is here.

=== TECHNICAL SCOPE ===
EscalationPanel offers live chat or callback. start-chat generates intentLabel + intentGreeting via Nova
Micro and attaches them to the Connect contact attributes so the agent app shows context before the first
human word. Pass clientName explicitly to the model to avoid beneficiary/name confusion.","Definition of done:
- The bot offers live chat or callback when escalation is warranted.
- An intent label and suggested greeting are generated and attached to the contact.
- The client is told what to expect while connecting."
Story,71,,Escalation to Live Agent & Intent Summary,,,70,Escalate to a live agent or a callback,Client Chat,High,5,customer-app,connect,,"As an investor, I want to choose between chatting with a live agent now or scheduling a callback when I need a human, so that I can pick the path that fits my situation.

=== TECHNICAL DESIGN ===
EscalationPanel: live -> route the Connect contact to the agent queue; callback -> callback scope /
CallbackScheduler. Reflect the choice in chatStore state.","Scenario: Escalation choice
  Given the bot determines I need a human
  Then it offers live chat or a scheduled callback
  And routes me down whichever I choose"
Story,72,,Escalation to Live Agent & Intent Summary,,,70,Hand the agent a pre-built intent summary and greeting,Client Chat,High,5,ai,backend,,"As an agent, I want an AI-generated intent label and suggested greeting waiting in my workspace when a chat arrives, so that I open the conversation already knowing the context and can greet the client by need.

=== TECHNICAL DESIGN ===
Nova Micro prompt -> {intentLabel, intentGreeting}; store on the contact attributes; the agent IntentLabel
+ AISupport components read them on accept.","Scenario: Context precedes the human
  Given a client escalates to live chat
  When the contact appears in the agent workspace
  Then an intent label and a suggested greeting are present before any agent message"
Epic,73,,,Human-Realistic Live Chat UX,53,53,Human-Realistic Live Chat UX,Client Chat,High,,customer-app,agent-app,ux,"The details that make a live (and autopilot-assisted) chat feel human: bidirectional typing indicators with a reading delay before a typing delay, avatars that switch from a ""V"" assistant mark to the connected agent's initials, and the agent's full name broadcast on connect so initials and attribution are correct.

Value: trust and warmth - clients engage more openly when the experience feels like a real person.

=== TECHNICAL SCOPE ===
Typing: customer notifyTyping on keystrokes -> agent maps onTyping to slot.customerTyping -> TypingDots
(30s expiry). Agent->customer typing via send-agent-message event:'typing' -> customer agentTyping (60s
expiry). Autopilot send (autopilotSend) runs two phases via autopilotDelay: a READING delay (ellipsis
hidden) = 2000ms + 10ms*(clientMsgLen-200), min 2000ms, based on the client's last message; then a TYPING
delay (ellipsis shown) = chars/15 seconds. Cancel sends a typing-stop sentinel to clear it promptly.
Avatars: an assistant mark for bot turns; once a human connects, agent bubbles + ellipsis show the agent's
initials (chatStore.agentName via an initialsFromName util). The agent broadcasts its FULL name on connect
as a control message because Connect DisplayName is only the first name.","Definition of done:
- Typing indicators appear/expire correctly in both directions.
- Autopilot replies show a reading delay then a typing delay before sending.
- Avatars and names reflect the connected agent for the rest of the chat."
Story,74,,Human-Realistic Live Chat UX,,,73,See when the agent is typing,Client Chat,,3,customer-app,ux,,"As an investor, I want an animated typing indicator when the agent (or autopilot drafting on their behalf) is composing, so that I know a reply is coming and do not send duplicate messages.

=== TECHNICAL DESIGN ===
Customer ChatInput calls notifyTyping; agent useConnectStreams maps chatSession.onTyping to
slot.customerTyping and ChatColumn renders TypingDots (30s expiry). Reverse direction: customer ChatBody
shows agentTyping (60s expiry).","Scenario: Typing indicator lifecycle
  Given I am connected to an agent
  When the agent is composing
  Then I see an animated ellipsis that fades after ~60s of inactivity and reappears when they resume"
Story,75,,Human-Realistic Live Chat UX,,,73,Make autopilot replies feel human-paced,Client Chat,,5,agent-app,ai,,"As an investor, I want autopilot replies to arrive at a human pace - a reading pause before the typing indicator even appears, so that AI-assisted replies are indistinguishable from a person typing.

=== TECHNICAL DESIGN ===
Implement autopilotDelay with the reading-then-typing phases (formulas above). Keep the ellipsis hidden
during the reading delay; show it during the typing delay; then send via send-agent-message.","Scenario: Reading then typing delay
  Given autopilot has drafted the next agent message
  Then it first waits a reading delay (min ~2s, longer for longer client messages) with no ellipsis
  And only then shows the typing ellipsis during the typing delay before sending"
Sub-task,76,75,,,,75,Implement autopilotDelay reading phase,Client Chat,,,,,,"Ellipsis hidden; 2000ms + 10ms*(clientMsgLen-200), min 2000ms, based on the client last message.",
Sub-task,77,75,,,,75,Implement autopilotDelay typing phase + cancel sentinel,Client Chat,,,,,,Show ellipsis; delay chars/15 s; on cancel send the typing-stop sentinel to clear it.,
Story,78,,Human-Realistic Live Chat UX,,,73,Show the connected agent's identity,Client Chat,,3,customer-app,agent-app,,"As an investor, I want the avatar and name to reflect the real agent once a human connects, so that I know I am talking to a named person, not a bot.

=== TECHNICAL DESIGN ===
On agent connect, broadcast the agent's full name as a control message (intercepted client-side, not
rendered); store it as chatStore.agentName; derive initials with an initialsFromName util for bubbles + the
typing ellipsis.","Scenario: Avatar switches to the agent
  Given a live agent connects to my chat
  Then agent messages and the typing ellipsis show the agent's initials for the rest of the chat"
Epic,79,,,Continue a Recent Agent Chat,53,53,Continue a Recent Agent Chat,Client Chat,Medium,,customer-app,connect,,"If the client spoke with a live agent within the last 7 days, opening the chat shows a card (above the topic pills) with the date and a one-sentence recap and a ""Continue this chat"" button. Clicking it checks whether that specific agent is currently available and lets the client wait for them or take the first available agent; on accept, the prior transcript loads into the agent's workspace marked as a continued conversation. Purely additive - absent when there is no recent agent chat.

Value: continuity - clients pick up where they left off with the person who already knows their story.

=== TECHNICAL SCOPE ===
Continuation memory = lastAgentChat attribute on the Clients table, written by save-transcript at agent-
chat end {transcriptId,endedAt,summary,agentUsername,agentName}; cleared by reset-all-data (the permanent
transcript log is untouched). ContinueChatCard renders above the topic pills when lastAgentChat is within
7 days. On click: GET /agent-availability?username=... checks whether THAT agent is on queue/Available; the
client chooses wait-for-them vs first-available (auto first-available if unavailable). On agent accept the
prior transcript loads above a ""Continued chat"" divider (loadContinuationTranscript). NOTE: true per-agent
Connect routing is best-effort + a preferredAgentUsername metadata attribute today (documented follow-up).","Definition of done:
- The card appears only when a qualifying recent agent chat exists.
- Availability of the specific prior agent is checked; client can wait or take first-available.
- On accept, the prior transcript loads above a ""continued chat"" divider."
Story,80,,Continue a Recent Agent Chat,,,79,Offer to continue a recent agent conversation,Client Chat,,5,customer-app,,,"As a returning investor, I want a card offering to continue my recent live-agent chat with its date and a one-line recap, so that I can resume an in-flight matter instead of re-explaining it.

=== TECHNICAL DESIGN ===
Fetch continuation memory; if lastAgentChat is within 7 days render ContinueChatCard (date + one-line
summary); otherwise render nothing (degrade to the prior UI exactly).","Scenario: Continue card shows for recent agent chat
  Given I had a live-agent chat in the last 7 days
  When I open the chat
  Then I see a ""Continue this chat"" card with the date and a one-sentence recap

Scenario: No recent agent chat
  Given I have not had a live-agent chat recently
  Then the card is absent and the experience is unchanged"
Story,81,,Continue a Recent Agent Chat,,,79,Choose to wait for my prior agent or take the next available,Client Chat,,5,customer-app,connect,,"As a returning investor, I want to see whether my previous agent is available and choose to wait for them or take the first available agent, so that I can balance continuity against how quickly I need help.

=== TECHNICAL DESIGN ===
On click, GET /agent-availability for the prior agent; present wait vs first-available; set
preferredAgentUsername on the contact; on the agent side, load the prior transcript on accept.","Scenario: Prior agent availability drives the choice
  Given I click Continue this chat
  When the system checks my prior agent's availability
  Then I can wait for that agent if available, or take the first available
  And on accept the agent sees my prior transcript marked as continued"
Epic,82,,,In-Chat Topic & Question Pills,53,53,In-Chat Topic & Question Pills,Client Chat,Medium,,customer-app,ai,,"Context-aware suggestion chips in the chat: topic pills reflecting what investors actually ask on the exact page (or wizard step) they are on, and follow-on question pills with pre-written answers for a chosen topic. Open-account in-flow topics are step-aware and ungated to the account being opened.

Value: lowers the effort to ask the right question and showcases relevant self-service, increasing successful self-resolution.

=== TECHNICAL SCOPE ===
Topic pills: predict-intent over the page key (pageContextStore finer key preferred over pageKeyFromPath)
+ recent messages + KB EXTRA_PAGE_TOPICS. Question pills + pre-written answers: predict-questions for the
chosen topic. Components: TopicButtons, QuestionButtons. Open-account in-flow topics are ungated + step-
aware.","Definition of done:
- Topic pills are specific to the current page/step, not generic.
- Selecting a topic surfaces likely follow-up questions with answers.
- Wizard steps publish a fine-grained context key that the chat prefers."
Story,83,,In-Chat Topic & Question Pills,,,82,See page-relevant topic suggestions,Client Chat,,3,customer-app,ai,,"As an investor, I want topic chips that reflect what people actually ask on the page I am viewing, so that I can start a useful conversation in one tap.

=== TECHNICAL DESIGN ===
ChatWidget computes the page key (prefer pageContextStore over pageKeyFromPath), calls predict-intent, and
renders TopicButtons.","Scenario: Topics match the page
  Given I open the chat on a specific page or wizard step
  Then the topic pills are specific to that page/step
  And selecting one starts a relevant exchange"
Story,84,,In-Chat Topic & Question Pills,,,82,See predicted follow-up questions with answers,Client Chat,,3,customer-app,ai,,"As an investor, I want suggested follow-up questions with ready answers after I pick a topic, so that I can get deeper without typing.

=== TECHNICAL DESIGN ===
On topic select, call predict-questions; render QuestionButtons; clicking one shows its pre-written answer
in the thread.","Scenario: Question pills carry answers
  Given I selected a topic
  Then I see likely follow-up questions
  And choosing one shows its pre-written answer"
Epic,85,,,Chat History & Transcript Access,53,53,Chat History & Transcript Access,Client Chat,Medium,,customer-app,,,"A hamburger menu in the chat header opens the client's live-agent chats from the last 90 days, newest first - each card shows the date/time, duration, and a short second-person recap. Only chats that have that recap are listed. Cards open a read-only transcript with a download link, and can be pinned to the top for easy future reference.

Value: gives clients a durable, self-serve record of their agent interactions.

=== TECHNICAL SCOPE ===
A hamburger in the ChatPanel header switches view (chat/history/transcript). ChatHistoryView: GET
/get-transcripts?clientId=... for the last 90 days; show ONLY rows that have the second-person summary
recap (no fallback). Card = bold date/time, (mm:ss) duration, recap. Open a transcript via ?transcriptId=;
Download. Pin: POST /pin-transcript {transcriptId,pinned}; optimistic toggle with revert-on-error; pinned
sorted first in a tinted section.","Definition of done:
- History lists qualifying past agent chats with date, duration, and recap.
- A card opens a read-only, downloadable transcript.
- Pin/unpin reorders pinned chats to the top and persists."
Story,86,,Chat History & Transcript Access,,,85,Browse my past agent chats,Client Chat,,5,customer-app,,,"As an investor, I want a history list of my live-agent chats from the last 90 days with date, duration, and a recap, so that I can find and revisit a prior conversation.

=== TECHNICAL DESIGN ===
GET /get-transcripts (list projection incl. summary, acwSummary, agentName, pinned); filter to rows with a
summary; render cards newest-first; bot-only chats are never saved so never appear.","Scenario: History lists recapped chats
  Given I open the chat history menu
  Then I see my recent live-agent chats newest-first with date, duration, and a recap
  And bot-only conversations are not listed"
Story,87,,Chat History & Transcript Access,,,85,Open and download a past transcript,Client Chat,,3,customer-app,,,"As an investor, I want to open a read-only transcript of a past chat and download it, so that I can review or keep a record of what was said.

=== TECHNICAL DESIGN ===
GET /get-transcripts?transcriptId= -> render read-only; Download via the transcriptDownload util.","Scenario: Read-only transcript with download
  Given I open a history card
  Then I see the full conversation read-only with a download link"
Story,88,,Chat History & Transcript Access,,,85,Pin important chats to the top of history,Client Chat,,3,customer-app,,,"As an investor, I want to pin a chat so it stays at the top of my history, so that I can quickly return to a conversation that matters.

=== TECHNICAL DESIGN ===
POST /pin-transcript; optimistic update + revert on error; pinned-first sort; smooth scroll-to-top on pin.","Scenario: Pin reorders and persists
  Given I pin a chat in history
  Then it moves to a pinned section at the top and stays pinned on my next visit"
Feature,89,,,,,,AI Autopilot Engine,Autopilot Engine,Highest,,backend,ai,llm,"The core intelligence of the platform: a single Lambda that handles every AI-driven chat turn for both the pre-agent bot and the live-agent autopilot. For a live chat it identifies which of 19 account tasks the client needs, then drives a structured, reactive field-collection conversation until every required value is confirmed - at which point it hands the agent a ready-to-approve Proposed Action. It applies shared guardrails (financial advice, trades, fraud, inheritance) across every task and uses the right model for each job (Amazon Nova Micro for fast classification; OpenAI GPT for the conversational experts).

Value: this is what lets one agent supervise many conversations - the AI does the collecting, validating, and structuring; the agent does the judgment.

=== ARCHITECTURE & STACK ===
A single Node 20 Lambda (handler.ts, ~1900 lines) behind POST /autopilot-turn, scope-dispatched
(full-auto | get-intent | idle-check | callback | locate-evidence). Stateless and reactive: ONE invocation
per client message, no polling, no server-side state between turns (the transcript is passed in).
Models: Bedrock Nova Micro (invokeNovaMicro) for classification, full-auto, ACW, NBR, intent labels; OpenAI
gpt-4o for the get-intent task experts (gpt-4o-mini proved too weak for the experts' rules); gpt-4o-mini is
the default for bot/NBR/labels for cost. OPENAI_API_KEY resolves from SSM at deploy.
Shared modules: tasks.ts (TASKS catalog + matchTaskByIntent + filterFields), kb.ts, types.ts, client-tools
.ts (on-demand tool calling). Returns {reply, shouldExitAutopilot, proposedAction?, scope}.
INVARIANT (safety guard): never return shouldExitAutopilot=true without a concrete proposedAction - if that
happens, reset it to false. Wrap model calls in try/catch (holding message + safe exit on error).","Definition of done:
- The engine routes every scope correctly and never hands off without a complete Proposed Action.
- All 19 task experts collect their fields, enforce their rules, and exit cleanly.
- Shared guardrails apply identically across every task."
Epic,90,,,Autopilot Scopes & Turn Orchestration,89,89,Autopilot Scopes & Turn Orchestration,Autopilot Engine,Highest,,backend,ai,,"The dispatcher that runs every chat turn under one of several scopes (full-auto, get-intent, idle-check, callback, locate-evidence) in a single stateless, reactive Lambda. It selects the model per job (Nova Micro vs OpenAI GPT), applies a safety guard that prevents exiting autopilot without a concrete Proposed Action, and degrades gracefully on LLM error.

Value: a single well-structured engine is cheaper to operate, easier to reason about, and avoids the race conditions of a polling design.

=== TECHNICAL SCOPE ===
Top-level dispatch by scope. full-auto -> FULL_AUTO_PROMPT; get-intent -> two-phase task engine; idle-check
-> check-in; callback -> CALLBACK_PROMPT; locate-evidence -> post-hoc utility (early-returns before chat-
turn logic). Choose the model per job. Apply the safety guard before returning.","Definition of done:
- Each scope is dispatched correctly from a single handler.
- The safety guard resets a premature exit when no Proposed Action exists.
- An LLM failure yields a safe holding message rather than a broken turn."
Story,91,,Autopilot Scopes & Turn Orchestration,,,90,Run all chat turns through one scoped engine,Autopilot Engine,High,5,backend,ai,,"As a platform owner, I want every AI chat turn to run through one scoped, stateless Lambda, so that behavior is consistent and the system stays simple to operate and reason about.

=== TECHNICAL DESIGN ===
Single handler; parse {scope, transcript, profile, ...}; branch by scope; keep it stateless so concurrent
turns never race.","Scenario: Scope dispatch
  Given an incoming chat turn with a scope
  When the engine runs
  Then it executes the matching behavior (full-auto, get-intent, idle-check, callback, or locate-evidence)"
Story,92,,Autopilot Scopes & Turn Orchestration,,,90,Never hand off without a complete Proposed Action,Autopilot Engine,High,3,backend,ai,,"As an agent, I want autopilot to never exit to me unless a concrete Proposed Action is ready, so that I never receive a handoff with nothing to act on.

=== TECHNICAL DESIGN ===
After the expert turn: if (shouldExitAutopilot && !proposedAction) shouldExitAutopilot = false. Add a unit
test for this exact case.","Scenario: Premature exit is blocked
  Given the expert signals completion but has produced no Proposed Action
  When the engine evaluates the exit
  Then it resets the exit to false and keeps collecting"
Story,93,,Autopilot Scopes & Turn Orchestration,,,90,Degrade gracefully on AI failure,Autopilot Engine,,3,backend,ai,,"As an investor, I want a calm holding message if the AI errors rather than a broken chat, so that a transient model failure never leaves me staring at an error.

=== TECHNICAL DESIGN ===
try/catch around the model call; on throw, reply with a brief holding line (""pulling some information..."")
and set shouldExitAutopilot=true; log the error to CloudWatch.","Scenario: Safe fallback on error
  Given the LLM call throws during a turn
  Then the client receives a brief ""pulling some information"" style message and the turn ends safely"
Epic,94,,,Task Identification (Phase 1),89,89,Task Identification (Phase 1),Autopilot Engine,Highest,,backend,ai,,"Phase 1 of the live-agent autopilot: determine which of the 19 tasks the client needs. A zero-LLM keyword matcher tries first (fastest, cheapest); an LLM fallback (Nova Micro) resolves the paraphrased cases (""give his wife access""). Financial-advice requests short-circuit to the callback scope before identification so ""best stocks to buy"" is not swallowed by a purchase task.

Value: fast, accurate task routing keeps cost down and gets the right expert on the conversation.

=== TECHNICAL SCOPE ===
matchTaskByIntent(intent, accountTypes) scores TASKS by keyword overlap (zero LLM). On miss,
identifyTaskWithLLM (Nova Micro) classifies. ADVICE_RE short-circuits ""what should I buy"" to the callback
scope BEFORE identification. Eligibility: tasks with eligibleAccountTypes only match clients holding those
types.","Definition of done:
- Keyword matching resolves common intents with no LLM call.
- The LLM fallback resolves paraphrased intents.
- Advice intents are routed to callback before task identification."
Story,95,,Task Identification (Phase 1),,,94,Identify the task from the client's words,Autopilot Engine,High,5,backend,ai,,"As an agent, I want autopilot to recognize which account task the client needs from their own phrasing, so that the right expert starts collecting without me categorizing the request.

=== TECHNICAL DESIGN ===
Keyword match first; LLM fallback. Once identified, build the expert prompt via buildTaskSystemPrompt(
profile, taskId) and run the first turn.","Scenario: Keyword match first, LLM fallback
  Given a client describes their need
  When keyword matching finds a task
  Then that task starts immediately
  And when keywords miss, an LLM classifies the intent before starting"
Sub-task,96,95,,,,95,Keyword scorer matchTaskByIntent,Autopilot Engine,,,,,,"Score TASKS by keyword overlap, filtered by eligibleAccountTypes; zero LLM.",
Sub-task,97,95,,,,95,LLM fallback identifyTaskWithLLM (Nova Micro),Autopilot Engine,,,,,,Classify intent when keywords miss; then build the expert prompt for turn 1.,
Story,98,,Task Identification (Phase 1),,,94,Route advice requests away from task collection,Autopilot Engine,High,3,ai,compliance,,"As a compliance owner, I want requests for financial advice to short-circuit to a callback before any task is identified, so that we never let an advice request masquerade as a transactional task.

=== TECHNICAL DESIGN ===
Test ADVICE_RE (and/or an LLM check) BEFORE matchTaskByIntent; if it is advice, set scope=callback so a
purchase task never swallows it.","Scenario: Advice short-circuit
  Given the client asks what they should buy
  When intent is evaluated
  Then it is routed to the callback scope, not the purchase task"
